序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4694,300763,锦浪科技,49.88,-0.62,-0.31,71866,358426956.8,2.01,50.3,49.29,49.74,50.19,0.71,2.24,22.33,2.39,19918749743,16036874157,-0.16,-0.28,-10.4,-18.32
4695,600177,雅戈尔,7.97,-0.62,-0.05,100721,80643197,1.12,8.05,7.96,8.01,8.02,0.55,0.22,11,0.9,36848831959,36848831959,-0.13,-0.13,-1.85,-9.43
4696,601326,秦港股份,3.2,-0.62,-0.02,104529,33595397,1.24,3.23,3.19,3.2,3.22,0.44,0.22,11.43,0.93,17879718400,15224188800,0,-0.31,1.59,-4.48
4697,2926,华西证券,8.08,-0.62,-0.05,101138,81760211,1.35,8.14,8.03,8.04,8.13,0.77,0.39,62.6,0.92,21210000000,21210000000,-0.12,-0.25,3.46,-2.77
4698,600054,黄山旅游,12.56,-0.63,-0.08,186010,233730483,2.85,12.76,12.4,12.55,12.64,1.17,3.62,24.12,1.98,9161005766,6447048000,-0.24,-0.16,13.87,11.15
4699,688068,热景生物,116.8,-0.63,-0.74,16520,194307657,5.35,121.3,115.01,115.9,117.54,0.77,1.79,-60.26,3.51,10801044026,10801044026,1.08,0.26,66.38,88.87
4700,601669,中国电建,4.75,-0.63,-0.03,572131,272451441,1.26,4.79,4.73,4.76,4.78,0.95,0.44,6.97,0.6,81824256837,62089747788,0,-0.21,-5.94,-13
4701,601066,中信建投,23.51,-0.63,-0.15,54005,126926105,0.89,23.61,23.4,23.5,23.66,0.53,0.08,25.25,2.38,1.8236E+11,1.52713E+11,0.04,-0.04,-4,-8.7
4702,600015,华夏银行,7.91,-0.63,-0.05,354834,279704721,2.01,7.95,7.79,7.94,7.96,0.96,0.23,4.55,0.35,1.25887E+11,1.21713E+11,0,0,6.46,0
4703,3042,中农联合,14.28,-0.63,-0.09,21467,30801927.7,1.39,14.46,14.26,14.34,14.37,0.32,1.69,-27.24,1.43,2034614400,1818782839,-0.14,-0.07,-13.51,0.21
4704,600979,广安爱众,6.29,-0.63,-0.04,872838,544305784,4.27,6.38,6.11,6.16,6.33,0.66,7.08,24.78,1.73,7935822492,7750914079,0,0,38.24,36.15
4705,832982,锦波生物,392.53,-0.63,-2.48,7448,290467656.1,4.93,399.57,380.11,397,395.01,0.51,1.62,35.53,22.6,34743536854,18013625632,0.14,-0.55,73.69,89.63
4706,601800,中国交建,9.27,-0.64,-0.06,225951,210220837,1.29,9.37,9.25,9.3,9.33,0.55,0.19,6.45,0.53,1.50903E+11,1.08897E+11,-0.11,-0.22,-2.11,-10.09
4707,600339,中油工程,3.09,-0.64,-0.02,272683,84720061,1.61,3.13,3.08,3.1,3.11,1.06,0.49,27.15,0.65,17251925685,17251925685,-0.32,-0.32,-11.46,-13.69
4708,301355,南王科技,10.79,-0.64,-0.07,38625,41733648,3.31,10.97,10.61,10.75,10.86,0.68,3.85,41.39,1.37,2105106643,1081756068,-0.19,-0.09,-21.3,-18.38
4709,300494,盛天网络,10.87,-0.64,-0.07,92919,101288222.6,2.01,11,10.78,10.87,10.94,0.84,2.33,1635.07,3.13,5331844526,4330043499,-0.18,-0.09,-6.7,-3.29
4710,601328,交通银行,7.72,-0.64,-0.05,1038824,798768416,1.8,7.77,7.63,7.74,7.77,0.73,0.26,6.13,0.6,5.73308E+11,3.03017E+11,-0.13,0,7.52,1.71
4711,2815,崇达技术,9.31,-0.64,-0.06,86568,80969061,2.35,9.45,9.23,9.27,9.37,0.71,1.35,39.07,1.43,10066453467,5964434789,0,-0.11,-13.4,-8.73
4712,603668,天马科技,12.45,-0.64,-0.08,29118,36177376,1.68,12.56,12.35,12.44,12.53,0.62,0.58,67.57,2.77,6254079975,6254079975,0.16,0.16,12.67,-2.28
4713,600643,爱建集团,4.66,-0.64,-0.03,168171,78094936,1.92,4.68,4.59,4.6,4.69,0.66,1.06,22.46,0.59,7424175825,7411038997,-0.21,-0.21,-3.52,-9.86
